Shipping Point,DepotLongitude,DepotLatitude,Ship to,CusLongitude,CusLatitude,Planned Delivery Date,DOW,Beginning1,Ending1,Beginning2,Ending2,Number of HUs,Dwell Time,Total Volume,Total Weight,AllowedTrucks
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.019,2.94,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,2.0,0.45,0.003,0.881,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.043,9.907,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.016,3.048,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,4.0,0.65,1.934,1150.539,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,2.0,0.45,0.013,1.041,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.003,0.96,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.003,0.403,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,2.0,0.45,0.412,42.295,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.001,0.129,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,3.0,0.55,0.541,53.045,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,2.0,0.45,0.049,4.726,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,3.0,0.55,0.033,8.869,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,4.0,0.65,0.643,97.574,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,2.0,0.45,0.068,21.658,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.001,0.076,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.048,8.98,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.003,0.5,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.209,105.17,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.005,1.43,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,1.0,0.35,0.085,8.0,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-02,Thursday,08:00,17:00,,,3.0,0.55,0.173,25.317,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-09,Thursday,08:00,17:00,,,1.0,0.35,0.001,0.393,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-09,Thursday,08:00,17:00,,,1.0,0.35,0.001,0.171,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-09,Thursday,08:00,17:00,,,1.0,0.35,0.042,4.0,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70127594,123.9356738,10.33189179,2023-02-09,Thursday,08:00,17:00,,,2.0,0.45,0.067,12.675,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70438306,123.9009904,10.31660753,2023-01-27,Friday,08:00,17:00,,,1.0,0.35,0.011,5.03,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012153,124.005522,11.05126849,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.0,0.02,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012153,124.005522,11.05126849,2023-01-23,Monday,08:00,17:00,,,2.0,0.45,0.003,1.693,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012153,124.005522,11.05126849,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.001,0.103,"{AUV, 4w, 6w, 10w, 40ft}"
