Depot,DepotLong,DepotLat,Customer,CusLong,CusLat,DeliveryDate,DOW,Beginning1,Ending1,Beginning2,Ending2,HUs,DwellTime,CBM,KGM,AllowedTrucks
2513,123.9334502,10.31595846,70089406,123.9246318,10.3394575,1/18/2023,Wednesday,8:00,17:00,,,1,0.35,2,636,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70383119,123.89243,10.31388628,1/20/2023,Friday,8:00,17:00,,,3,0.55,5,613,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70494719,124.0054156,11.05179254,1/23/2023,Monday,8:00,17:00,,,1,0.35,2,306,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70494719,124.0054156,11.05179254,1/23/2023,Monday,8:00,17:00,,,1,0.35,0.423,54,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70559301,123.925209,10.33929534,1/23/2023,Monday,8:00,17:00,,,2,0.45,0.32,174,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70559301,123.925209,10.33929534,1/23/2023,Monday,8:00,17:00,,,1,0.35,1,90,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70494719,124.0054156,11.05179254,1/23/2023,Monday,8:00,17:00,,,2,0.45,1,716,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70559301,123.925209,10.33929534,1/23/2023,Monday,8:00,17:00,,,1,0.35,0,34,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70559301,123.925209,10.33929534,1/23/2023,Monday,8:00,17:00,,,1,0.35,0.066,22.442,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70494719,124.0054156,11.05179254,1/23/2023,Monday,8:00,17:00,,,1,0.35,0.023,5.314,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012153,124.005522,11.05126849,1/23/2023,Monday,8:00,17:00,,,1,0.35,0,20,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012153,124.005522,11.05126849,1/23/2023,Monday,8:00,17:00,,,2,0.45,0.003,1.693,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012153,124.005522,11.05126849,1/23/2023,Monday,8:00,17:00,,,1,0.35,1,103,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012153,124.005522,11.05126849,1/23/2023,Monday,8:00,17:00,,,3,0.55,0.012,3.925,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012153,124.005522,11.05126849,1/23/2023,Monday,8:00,17:00,,,2,0.45,3,673,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70494719,124.0054156,11.05179254,1/23/2023,Monday,8:00,17:00,,,1,0.35,0.438,61,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70559301,123.925209,10.33929534,1/23/2023,Monday,8:00,17:00,,,3,0.55,1,271,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70559301,123.925209,10.33929534,1/23/2023,Monday,8:00,17:00,,,3,0.55,0.009,2.931,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012890,123.8936955,10.30956454,1/23/2023,Monday,8:00,17:00,,,1,0.35,1,400,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012665,123.8920937,10.31068309,1/23/2023,Monday,8:00,17:00,,,3,0.55,5,622,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70278438,123.8612595,10.28628987,1/23/2023,Monday,8:00,17:00,,,2,0.45,2,336,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012591,123.8894147,10.30977485,1/23/2023,Monday,8:00,17:00,,,5,0.75,0.066,9.487,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70130947,123.9183403,10.36966191,1/23/2023,Monday,8:00,17:00,,,2,0.45,0.156,39.878,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70130947,123.9183403,10.36966191,1/23/2023,Monday,8:00,17:00,,,2,0.45,0.268,60.44,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70494719,124.0054156,11.05179254,1/23/2023,Monday,8:00,17:00,,,1,0.35,0,46,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70278442,123.8936381,10.34644814,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.024,4.812,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70382288,123.8947265,10.31275246,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,2,339,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012891,123.9118636,10.3410758,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,0.012,6.864,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012891,123.9118636,10.3410758,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.23,56.187,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012890,123.8936955,10.30956454,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.23,56.187,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012891,123.9118636,10.3410758,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,0,152,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70382288,123.8947265,10.31275246,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,0.011,6,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70382288,123.8947265,10.31275246,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.021,16.148,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012891,123.9118636,10.3410758,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,0.017,8.64,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012890,123.8936955,10.30956454,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,0.006,3.552,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012891,123.9118636,10.3410758,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.206,50.854,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70382288,123.8947265,10.31275246,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,0.121,28.204,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012890,123.8936955,10.30956454,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.066,16.885,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012890,123.8936955,10.30956454,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.163,42.812,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012891,123.9118636,10.3410758,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.093,25.066,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012591,123.8894147,10.30977485,1/24/2023,Tuesday,8:00,17:00,,,1,0.35,0,28,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70382288,123.8947265,10.31275246,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.067,30.288,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70382288,123.8947265,10.31275246,1/24/2023,Tuesday,8:00,17:00,,,2,0.45,0.156,39.878,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012920,123.9391432,10.3355742,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.004,1.616,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012935,123.9249415,10.31788734,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.336,92.452,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012935,123.9249415,10.31788734,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.032,19.608,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70086569,123.9638132,10.30050516,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.361,89.796,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012935,123.9249415,10.31788734,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.058,32.808,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012920,123.9391432,10.3355742,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.05,14.496,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012923,123.9392186,10.33551788,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.014,7.224,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70089387,123.9486987,10.25803981,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.021,11.76,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012918,123.9241934,10.31566949,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.007,3.568,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70086569,123.9638132,10.30050516,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.008,4.272,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70089387,123.9486987,10.25803981,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.075,41.256,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70082252,123.955422,10.31248723,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.007,4.272,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70082254,123.9483442,10.34112538,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.191,104.88,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70086569,123.9638132,10.30050516,1/25/2023,Wednesday,8:00,17:00,,,3,0.55,0.045,28.047,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012920,123.9391432,10.3355742,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.09,30.248,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70082252,123.955422,10.31248723,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.005,1.92,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70482687,123.9658781,10.28445441,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.007,3.584,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012924,123.9182846,10.3098377,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.015,9.384,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012924,123.9182846,10.3098377,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.066,36.072,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012920,123.9391432,10.3355742,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.118,74.928,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012920,123.9391432,10.3355742,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.045,25.608,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012922,123.9487583,10.36215255,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.036,20.736,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70385954,123.9500282,10.35657953,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.082,33.408,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012907,123.9257324,10.32414991,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.561,282.24,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012918,123.9241934,10.31566949,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.038,21.712,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70082252,123.955422,10.31248723,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.066,36.024,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70482687,123.9658781,10.28445441,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.016,6.156,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70082254,123.9483442,10.34112538,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.02,10.848,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012890,123.8936955,10.30956454,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.017,10.68,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70482687,123.9658781,10.28445441,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.692,159.775,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012890,123.8936955,10.30956454,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.012,6.96,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70089387,123.9486987,10.25803981,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.025,14.856,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70089406,123.9246318,10.3394575,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.017,8.88,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012924,123.9182846,10.3098377,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.07,16.728,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70082252,123.955422,10.31248723,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.028,15.558,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70089406,123.9246318,10.3394575,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.003,1.824,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012430,123.8920974,10.31486357,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.016,6.648,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012430,123.8920974,10.31486357,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.819,313.32,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012430,123.8920974,10.31486357,1/25/2023,Wednesday,8:00,17:00,,,1,0.35,0.169,67.464,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.9334502,10.31595846,70012430,123.8920974,10.31486357,1/25/2023,Wednesday,8:00,17:00,,,2,0.45,0.04,5.433,"{AUV, 4w, 6w, 10w, 40ft}"
