#{"t_start": 1766685730.0247612, "env_id": "None"}
r,l,t
3.6445708,7,40.808453
3.7674856,3,47.705887
3.5679,10,47.706283
4.4164534,10,99.630378
3.6771252,22,104.240308
3.0752437,16,120.264611
3.8711603,5,124.093946
4.112856,9,159.455836
4.592538,11,164.647138
3.866761,5,184.697486
3.0034425,46,208.304097
3.7010472,6,231.560903
4.5026317,37,253.543893
2.8423707,4,256.463608
3.9648564,30,286.952868
3.3107445,12,289.785465
3.7335925,8,321.935016
4.0323625,31,333.589915
3.7483125,16,348.372254
4.0321965,11,361.224076
3.1416063,56,365.59084
2.8994472,5,379.560578
4.4124594,5,379.929753
4.1395164,13,387.303401
4.308431,3,394.574614
4.1198072,6,394.575038
3.5215468,23,400.217093
3.702119,4,406.172637
3.3588324,16,432.133107
3.5970438,8,434.707029
3.92389,2,445.066747
3.9038613,21,474.860563
3.3162642,20,484.503949
4.333046,12,530.642034
3.6345265,26,545.267425
3.3417625,6,562.585284
3.0826025,21,620.08079
3.5738726,35,634.489628
3.341736,20,651.741811
4.02249,10,653.461499
4.0089035,9,683.129057
4.164971,18,713.540973
3.6893663,14,735.437929
3.053495,1,737.824407
0.8643172,1,740.776052
2.6448004,78,745.089516
3.9448538,36,754.506506
3.6546,3,761.827265
2.6257885,2,763.392246
3.935985,3,769.87715
1.007809,1,771.313157
3.8527136,11,818.373236
3.7514338,22,824.160127
4.1539865,6,840.414107
4.589311,4,863.069957
3.697382,29,874.653755
3.5807924,5,874.995755
3.2650876,48,886.263872
3.501839,3,886.264253
3.8244877,6,901.43936
4.358297,7,918.041965
4.5384974,10,930.484972
3.1996233,31,930.485503
2.5868351,1,934.277405
3.0992136,2,934.632156
3.6504629,3,948.195336
4.3178887,18,950.408903
4.242985,7,961.717196
4.124448,15,965.065855
4.447047,8,983.687728
3.6102896,8,996.165349
3.7188587,16,1010.227183
4.0376377,14,1025.845955
3.8708508,14,1046.089218
3.5628924,10,1046.089622
3.5842881,3,1056.032622
4.212742,17,1095.882916
3.7036722,43,1096.443491
3.3919172,17,1099.24391
3.6948469,7,1107.544791
4.028295,6,1108.670066
3.8233252,32,1111.482792
2.825423,4,1114.909108
4.0264144,4,1121.122061
3.5614107,13,1141.210471
3.5211546,7,1142.447438
4.0610704,9,1159.663683
3.0342262,2,1166.746254
4.184085,16,1205.022948
3.5691636,12,1214.464277
2.7368836,23,1215.333261
1.7006154,1,1215.333608
3.977166,10,1238.70352
3.8252807,8,1242.373587
3.864645,10,1252.769127
3.5202703,2,1254.807622
3.7704346,32,1258.838024
2.8438997,1,1265.030041
1.5635118,1,1266.856873
3.3038213,19,1313.766836
4.9328465,11,1313.767214
3.2359366,25,1344.325186
4.4616346,6,1347.107409
3.1838028,16,1404.507978
2.374847,2,1406.849199
3.4577625,48,1436.560453
4.446639,3,1451.089579
2.3658085,38,1460.078071
3.4184043,17,1478.518373
3.4511018,4,1479.675405
4.0456967,11,1504.034902
4.1508675,10,1529.022352
3.8312948,18,1560.233854
3.4509187,55,1560.234308
4.0197353,10,1563.741949
3.3668854,17,1570.710902
3.515633,3,1570.711329
3.6857078,3,1575.684179
2.3378234,5,1584.67942
4.5472226,14,1601.494884
3.072269,1,1605.047601
4.2301974,12,1620.578542
3.918395,15,1650.482419
1.8358408,1,1656.508819
4.049175,28,1667.754781
4.3419237,20,1701.720867
3.7699425,18,1724.783696
3.1755168,30,1745.917003
3.7976677,8,1753.502259
3.1832569,4,1764.165374
4.3060174,9,1775.322131
3.451032,32,1782.918721
2.8774195,9,1794.994909
3.738951,43,1829.093771
3.6217785,25,1871.430115
3.164879,23,1931.371106
3.4375267,35,1932.823313
2.9939604,49,1939.075716
3.0543463,3,1944.801826
3.7407458,21,1946.45014
3.4963696,11,1991.786202
4.1066155,13,1998.57678
3.43723,6,2029.781504
3.9813018,26,2049.930265
3.047614,32,2065.618096
4.0378923,3,2065.618524
3.3229518,6,2078.399755
4.0689993,6,2078.400052
3.3474262,19,2095.024459
3.5429628,31,2101.173564
4.026706,12,2121.998249
3.5037992,5,2130.150864
3.932295,2,2134.497037
3.9492688,24,2184.850359
4.1329436,18,2206.689012
3.9940178,3,2220.436265
3.162671,5,2235.98646
3.8510149,45,2263.201923
3.1255784,2,2265.889279
3.3859792,54,2275.644845
3.8429468,24,2282.37088
3.7357128,18,2348.181804
4.4156322,16,2348.182245
3.964983,7,2374.240078
3.0007463,33,2376.58272
4.0812974,28,2397.54997
4.8980107,8,2400.726324
2.4572675,1,2400.726763
2.5868511,5,2430.415593
3.9935403,5,2430.416031
3.4555588,23,2439.473684
3.8174968,3,2439.474129
3.5851967,4,2456.511033
2.8067684,6,2477.98646
3.2633321,13,2492.823926
4.245319,17,2496.464855
4.227934,7,2515.399815
3.7314332,37,2530.363597
2.9563384,10,2586.251326
3.29529,23,2586.698746
2.4468772,3,2599.19795
4.1550055,3,2611.260165
3.976002,8,2614.449688
3.432396,27,2624.950472
3.9903722,4,2632.814853
3.825548,5,2632.815377
2.889406,5,2634.940753
1.4297414,2,2634.9411
3.690181,30,2645.154353
4.046428,6,2656.641484
3.253451,9,2679.829078
3.7612467,14,2683.28659
4.1440105,7,2705.042629
3.9567306,16,2709.190296
2.953941,31,2741.131768
3.9283066,22,2756.812788
3.3687317,5,2770.376328
2.276656,1,2772.727048
4.118362,23,2783.407632
3.9019852,19,2803.950484
3.6959069,11,2842.090702
3.1850789,32,2845.374904
3.1799533,18,2870.459329
3.8382814,15,2882.847365
2.231146,1,2890.233531
2.5916097,1,2895.037358
3.963653,10,2932.550613
