"#{""t_start"": 1766644727.1364343"," ""env_id"": ""None""}",
r,l,t
3.0276072,2,16.970038
2.1108565,3,19.021793
2.8564384,1,19.022079
0.40389422,1,19.192343
2.8615203,1,19.192688
3.1652987,2,19.930398
3.3293328,2,19.930676
2.028549,1,20.279613
1.645375,1,21.217649
3.093239,4,21.752462
3.4312382,3,23.084273
2.6509275,5,26.6551
3.7877986,6,26.914312
3.8649623,3,26.914665
0.55703634,1,29.788491
3.8371208,6,29.788847
1.4741703,1,30.046248
2.8782215,2,30.333122
2.9335368,4,30.333445
1.5952222,1,34.331831
3.0200052,1,34.332142
1.8598635,4,34.332336
3.8341331,3,35.383797
3.0013204,1,35.384122
-0.13977815,1,35.680823
3.672766,4,37.899464
3.3890207,8,39.16624
3.8878984,11,40.153003
3.6445708,7,40.808453
1.5825009,1,41.43588
3.9849422,9,41.436169
3.8064096,3,41.575705
1.3301142,1,41.576102
4.118492,5,41.576309
1.078675,2,45.433642
3.7674856,3,47.705887
3.5679,10,47.706283
1.7204063,2,49.253629
1.4866067,1,53.224174
4.2902384,13,54.997357
3.0913708,15,55.620883
3.5994554,4,61.874099
3.306985,4,61.874539
3.9478607,9,62.228179
2.5211225,1,62.228523
2.7906609,3,65.402812
3.1177864,2,65.403105
4.037511,6,66.791844
3.5061736,10,67.090419
3.6286364,6,69.282284
4.1253705,2,72.096792
3.5986571,17,74.585089
4.386859,3,75.660563
3.4282668,2,78.802241
2.7528653,1,82.431334
4.2868834,5,82.431622
3.9494972,5,82.431755
3.7664392,4,82.614196
3.6319592,2,87.423445
1.9545307,1,88.995969
3.6243682,7,88.996297
2.4137797,2,89.944086
2.7327385,2,94.623971
3.9870949,14,96.739856
3.8690667,28,96.74011
4.4164534,10,99.630378
3.3956044,6,100.733391
4.271996,6,101.847256
4.1609797,6,101.847581
4.567074,5,103.086459
3.6308873,5,103.974841
3.6771252,22,104.240308
2.7404566,1,105.101216
3.1846209,5,105.807499
3.257294,14,105.807739
3.5040748,7,113.22385
3.2751935,7,113.816423
1.6168602,1,113.816732
1.8138887,1,114.386548
3.4683526,8,114.386876
-0.14824161,1,114.387013
1.840061,2,115.118308
2.5552573,9,117.117736
3.5825016,4,117.540171
3.7928772,3,120.176787
3.0752437,16,120.264611
3.8711603,5,124.093946
2.464815,2,124.19132
0.55927944,1,124.19168
3.6511953,15,124.210169
2.6805649,8,124.735379
3.4206018,7,129.999595
1.5761861,1,130.380338
3.6076558,4,132.236041
1.6442939,1,132.236339
3.7631776,11,137.295296
3.5677364,6,137.369185
4.229738,9,137.369561
3.6228132,17,137.528596
3.7868488,6,137.743354
3.1655807,3,137.790926
3.2444582,3,137.791256
2.4429007,1,139.628324
2.7543876,2,139.628645
3.6047454,6,139.76143
3.3399844,3,139.89751
2.617108,1,139.8978
3.9445202,5,140.301619
3.1674235,7,144.435694
0.7412015,2,144.637042
4.777787,3,147.343843
3.4237874,21,147.344114
3.5208437,8,147.50283
3.3512065,3,147.611639
4.124307,4,147.611953
3.2102683,2,147.792707
2.3872368,1,147.792989
1.5644649,1,148.5352
3.8978944,4,149.4138
1.7366322,1,150.07483
4.6794653,6,150.07519
2.416,1,150.075385
4.249562,2,152.867856
3.4704776,29,153.235117
3.6266017,3,153.236314
2.634808,1,153.236629
4.3756986,3,153.236808
3.3269095,6,154.624752
3.99517,7,157.676819
2.6899817,3,158.158265
4.112856,9,159.455836
3.645009,6,160.662513
