#{"t_start": 1766670828.3623374, "env_id": "None"}
r,l,t
4.881219,8,14.304564
5.1263103,18,16.115215
4.9588246,67,27.173722
4.152813,93,30.506589
3.765084,100,31.760082
3.7922564,100,34.793022
5.107681,34,42.233739
4.1332498,92,45.091215
4.811523,69,45.558285
4.703302,6,46.652504
5.215453,15,47.831066
3.8310604,100,49.927695
4.964547,72,56.383018
5.1695633,14,59.802359
4.896783,13,62.188252
4.117498,93,65.231931
2.7350495,2,65.615345
3.8020735,100,67.692405
3.833973,100,70.089157
4.677929,12,73.691003
4.454262,90,80.085895
4.601691,7,81.239986
5.0784874,63,85.731171
3.675136,100,86.433279
4.919226,11,88.546966
3.602683,100,89.066502
4.952119,44,90.926561
5.065649,17,92.080198
4.8904114,35,97.238075
4.9274282,57,99.294624
4.907632,73,101.314558
4.859089,66,106.164734
4.8891535,65,110.73422
2.3963747,2,111.195779
4.4488153,7,112.502345
4.9796185,48,115.95074
3.6831298,100,120.883529
4.004064,95,121.338799
4.707322,42,124.474082
5.0881624,15,126.960882
4.824924,77,128.330513
4.8766003,58,133.252441
4.985301,66,134.311926
5.1010814,24,134.312239
5.045134,29,138.315169
4.3576117,19,141.37068
4.402859,87,143.987722
4.849559,60,145.344463
5.065997,52,152.093896
1.7108843,100,153.206666
2.689049,62,156.096634
2.3188756,2,156.455268
4.582528,85,162.719682
4.855117,70,169.875654
3.779526,100,170.851713
3.7956982,100,171.879908
4.718293,11,173.901034
4.501195,87,179.006437
5.072456,14,181.327373
4.800206,63,182.402228
4.957483,52,184.658319
3.8773782,100,190.861599
5.0906873,63,194.12803
3.8279655,100,201.756634
3.686613,100,204.31544
5.0150204,19,206.844624
4.908944,64,207.287797
3.9105325,93,209.940382
4.810624,82,224.265917
3.5500138,100,226.094119
4.98478,5,226.931503
3.58142,100,227.92454
2.0534184,90,228.693008
4.92157,32,232.631879
4.7608514,82,239.936789
3.930272,96,245.555648
1.5683401,100,246.781885
3.8335986,98,252.200577
4.8326488,27,253.443519
4.9376836,72,254.087397
5.0504355,22,256.303248
4.9019876,24,258.101037
4.5470004,83,261.638996
5.1070824,45,264.524276
1.5935385,100,272.078643
1.6160986,100,276.450539
4.845706,70,277.323918
4.709915,14,279.999166
3.683093,100,281.717631
4.961355,67,285.079573
5.062149,29,285.728377
4.842253,26,289.532314
4.8773994,67,290.469669
4.9433866,22,293.665347
4.8837376,13,297.510972
4.5258617,85,298.263394
2.660185,63,298.263726
4.354918,7,298.741511
2.7668457,23,302.057414
4.6713905,5,303.020476
5.0205493,35,304.221709
5.1101823,13,305.195034
4.704272,83,306.369683
4.6100073,65,311.417161
4.999839,15,314.404456
3.6810951,100,323.284386
4.293636,89,323.925051
2.7441976,2,323.925324
3.7746804,100,325.126117
5.04203,60,325.479954
4.4557557,6,325.639543
4.9934335,17,328.285164
4.2792916,11,330.561594
5.137963,26,331.332015
4.5315495,5,332.319011
5.078778,39,333.199746
5.003967,51,335.660248
4.7820306,23,336.231873
4.8986006,14,339.332504
4.9370403,73,347.22709
4.7919264,64,347.895884
3.899664,93,348.091209
4.6688952,6,349.050538
4.884123,61,350.67783
3.9577615,5,351.743695
4.8496323,35,357.342587
4.665585,10,359.18269
4.83671,64,360.914108
5.112473,60,361.119811
4.98376,52,362.925883
2.9385407,15,365.432314
4.830012,31,366.250044
5.1782804,17,370.795739
4.327149,89,377.896603
3.759386,100,378.256713
4.8160195,62,381.521977
5.1347117,31,384.290073
3.8371947,100,385.813532
5.1978464,20,387.017171
5.048378,30,390.944446
2.3359892,1,391.123869
4.8155684,81,393.203256
4.957713,50,393.545613
5.0383945,19,394.653963
5.007387,44,402.708601
3.725211,100,405.415386
4.8581595,21,406.049008
3.8185558,100,412.241375
3.7113657,100,413.718493
5.0222654,26,419.780864
5.1631317,11,421.608486
4.7806544,80,422.069749
3.8204203,100,426.5714
3.8971152,95,434.799456
3.9711554,2,435.231554
4.830089,77,437.462683
4.7404284,77,437.847635
3.539304,100,447.904008
2.769693,58,449.820821
4.954845,75,452.163842
4.054305,100,454.456378
4.9668746,41,456.937821
2.4873018,38,460.036445
4.4473176,86,464.5196
5.036432,32,466.461653
4.7618833,79,470.207902
4.952042,70,470.893986
4.8837395,68,478.720651
4.727869,78,482.169244
4.930593,60,483.416265
5.0955186,28,483.416551
4.937304,77,485.970905
2.7318273,66,496.665022
3.6599634,100,501.39993
3.7224913,100,503.902143
3.7191477,100,507.647442
4.943908,37,511.900754
4.4080367,89,515.123717
2.426389,8,516.75672
4.9284377,32,518.376597
3.8515847,100,524.065989
3.8637936,100,527.688272
4.8445516,61,530.569643
4.808945,71,531.283265
5.02064,6,531.654899
5.005983,63,537.052346
5.0034103,69,541.388188
4.810311,51,542.310957
4.9294558,10,543.152099
4.595582,81,547.136455
4.7038875,69,549.923169
4.963016,47,553.393778
4.99631,37,555.600984
4.897311,27,558.049185
4.44363,90,560.209562
2.8712935,30,567.497354
4.6565967,72,570.38758
3.7373054,100,570.387892
4.750011,24,571.543378
3.6799664,100,578.632374
5.009267,49,580.922236
3.947038,97,589.38746
3.7157927,100,591.482344
4.929453,76,597.072386
4.4505014,25,598.52472
5.0314927,38,599.192608
3.9767382,100,600.326281
4.0748224,93,615.381964
4.259798,89,617.662646
3.8101645,100,617.891392
3.6626375,100,618.571162
4.6584005,6,619.597256
4.8422694,13,620.417469
4.9656634,14,624.248512
4.85379,28,631.316852
4.7723737,56,631.317302
4.7936153,11,633.156768
4.6845636,82,633.510767
3.8245301,100,642.348904
4.870785,8,643.918473
4.8452497,67,644.841364
4.826643,54,644.841656
4.970454,72,647.685289
5.04209,14,649.828823
5.104082,31,650.064415
4.825159,56,654.801756
5.1697817,10,657.110351
4.5847225,88,661.540888
4.9656477,69,663.448934
4.843878,80,665.349466
4.923297,28,672.351762
4.4731402,84,673.636335
1.7325243,100,680.611828
3.7295644,100,683.793276
3.8354685,97,690.57216
3.685091,100,692.626733
4.919036,61,693.394288
5.045953,22,697.151509
2.8463922,36,701.80127
3.7693894,100,704.496485
4.6695533,84,707.920911
4.6028185,85,715.647551
4.9044676,71,716.338711
5.0632296,37,716.338987
4.908735,78,720.136752
5.277561,27,720.999065
2.7461236,80,731.584729
4.3193183,89,732.475152
5.1767473,26,736.357377
1.6760252,100,738.984815
3.5753465,100,739.894154
4.900279,59,743.904672
4.880988,66,752.786544
4.9284143,79,754.288661
4.938714,60,754.893981
1.5405084,100,755.33245
4.825035,20,759.756565
2.729268,29,762.331529
4.9991465,44,762.775861
4.9689083,37,763.656964
2.5782924,4,764.620774
5.080224,17,766.36586
4.428231,12,768.780975
4.8498573,64,773.012637
2.9230635,53,776.444096
5.026486,21,780.134223
3.825074,100,782.777945
3.6814532,100,789.795609
4.857752,59,792.432196
3.7115068,100,793.911543
4.7495475,85,799.941594
4.7782583,46,802.167337
2.309821,2,802.903376
3.6775184,100,809.758517
3.8097835,100,812.111496
4.8770056,79,815.519875
4.912107,72,817.311116
5.0045567,44,825.717782
4.5452404,5,826.672949
4.2405667,91,827.263922
3.863639,100,830.94099
5.1100197,27,832.758909
4.452509,88,833.485191
4.948473,37,836.454017
4.8400645,23,839.826858
5.007193,32,840.835406
4.865326,56,846.067159
4.893968,10,848.935615
3.6082306,100,852.635978
2.676379,74,854.704938
4.6399317,83,855.330002
4.8898406,38,855.795298
4.8171167,76,867.235867
4.8104725,78,870.303955
3.7496126,100,873.378461
1.5295237,100,873.878852
5.045832,11,875.149328
4.603694,9,875.467514
4.944286,31,882.959426
4.4865227,86,884.217696
3.834074,100,889.844522
3.8096066,100,896.268235
4.8306203,74,898.548394
3.798717,100,901.3242
1.9094822,100,908.749146
4.217077,91,912.19915
4.8560877,80,912.469916
4.295099,5,913.090404
4.8514385,2,913.524348
2.652296,79,915.691367
5.168987,30,918.486327
4.985424,34,925.694839
3.709229,100,927.525289
4.886428,65,928.347066
4.523698,87,929.063697
5.0120506,37,934.941047
4.994382,60,940.116399
4.7723923,58,941.130651
3.737748,100,945.209245
4.9704766,61,947.239856
4.9546146,68,955.000253
4.3057575,89,957.453037
4.8444266,17,957.998229
5.056633,65,960.809641
3.940597,2,961.141557
5.1002455,22,961.517379
5.130972,26,962.585562
4.32252,88,962.781394
4.55187,13,964.543545
4.843655,38,970.687038
2.6786182,54,971.871687
4.9438267,19,974.084456
4.171543,89,977.983288
3.8284988,100,984.694916
4.207222,4,985.419811
4.4940166,86,987.82662
3.7238336,100,992.259323
3.7465894,100,997.667856
4.815886,70,998.954788
4.787413,82,1003.151322
2.8468702,64,1008.434186
3.7497628,100,1010.707191
4.985595,35,1015.796023
4.76827,70,1016.055009
3.6701465,100,1016.584761
2.5163684,24,1020.481788
4.176785,10,1022.155259
4.9787936,62,1027.461676
3.72193,100,1029.953285
1.9740075,91,1033.979418
2.5915985,3,1034.533905
4.935156,63,1035.919868
3.7657278,100,1048.623023
4.930508,76,1049.868098
3.782535,99,1050.759903
5.1474943,6,1051.670015
4.8786936,15,1054.408321
3.717317,97,1055.396283
4.686825,82,1065.002278
3.809766,100,1068.955427
4.5948715,85,1071.964882
4.6612334,83,1072.274489
5.013368,36,1072.274788
5.0747056,57,1082.645415
4.7651916,58,1082.645698
4.720083,78,1087.491873
4.3186684,91,1087.84701
1.7866304,96,1101.84036
3.7981992,100,1103.116478
3.7894545,100,1107.077071
3.7729332,100,1107.304258
4.788803,64,1114.779791
5.2215796,44,1115.14738
4.907122,9,1117.357951
4.8327823,15,1118.98489
3.4773483,100,1121.49468
2.0812764,90,1123.988658
4.912433,74,1133.071608
4.920867,74,1136.010919
3.7947946,100,1136.692077
4.336578,6,1137.769883
3.6393702,100,1143.413116
3.1414068,4,1144.485422
4.878678,59,1148.267058
4.954274,7,1149.709096
4.654889,83,1149.860361
4.5691886,8,1151.295075
3.6186225,100,1157.299698
3.7973151,100,1165.242842
4.541543,12,1167.241501
3.844105,96,1168.179425
3.758684,100,1170.147046
3.6452029,100,1177.262113
4.9047966,81,1182.676265
4.7755938,72,1183.877571
1.6792061,100,1186.883363
5.2167807,32,1194.304655
4.9207654,65,1195.928949
3.6563814,100,1196.873812
4.966453,9,1197.812378
4.373227,88,1201.516734
4.9473786,50,1208.60695
4.45168,88,1212.207885
4.8516617,58,1213.825972
5.038421,38,1215.563243
3.7297928,100,1217.050279
5.117922,23,1222.892646
4.915916,52,1223.401394
5.188881,18,1225.998504
2.6117218,28,1228.353491
4.9060187,79,1231.425757
3.6201851,100,1234.381387
2.563223,46,1239.554594
4.6915274,85,1244.156697
4.839175,32,1245.327436
4.60768,8,1245.715409
4.001853,95,1253.369808
3.6492355,100,1255.979649
1.5625451,100,1265.387408
3.610178,100,1266.025158
4.866382,64,1268.243316
3.8185549,100,1271.469219
2.6267169,74,1279.812998
3.6160352,100,1284.441474
3.571204,100,1287.057906
3.8466933,100,1290.193496
4.8636403,30,1292.492541
4.8676925,82,1296.177208
3.7430875,100,1303.396357
3.6543968,100,1311.500781
4.3129597,3,1312.030812
3.771361,100,1313.443774
3.7922945,100,1315.8918
5.068816,29,1318.740233
3.7461298,100,1324.899278
4.790199,77,1328.245837
4.851373,60,1331.859483
5.09411,37,1332.456598
2.371302,4,1333.238281
3.6546743,94,1335.265924
4.843969,58,1344.375851
3.8251271,100,1346.719412
5.1835923,22,1347.820351
1.6628875,96,1349.447014
4.1440454,92,1352.830495
4.9035087,65,1360.428844
3.7770236,100,1368.962586
2.0318964,1,1369.284537
3.6526473,100,1371.542605
3.6678174,100,1373.896826
3.718073,100,1380.108525
4.9255414,61,1383.619437
4.95613,70,1383.739298
4.850826,51,1384.646294
4.7435775,59,1392.662232
4.383254,87,1402.099706
4.089697,92,1403.817976
2.6706855,2,1404.141097
3.642319,99,1404.458743
2.6328552,19,1405.453046
5.0892367,71,1407.584304
5.0122986,36,1415.603338
4.8286757,65,1416.961709
4.7551513,71,1419.416071
4.444342,14,1421.892596
3.6543472,100,1423.320902
4.7715607,65,1429.468233
5.0473413,40,1430.394221
3.7817106,96,1433.568371
3.768758,100,1445.169764
4.964171,80,1446.499817
4.891975,78,1446.681232
5.185464,12,1448.719302
4.586873,82,1450.997516
4.9552174,12,1453.244632
3.7043247,100,1464.954888
4.198683,94,1465.460592
3.8752587,100,1468.567592
5.1786833,9,1470.378295
5.062136,39,1472.861739
3.6025195,100,1474.162857
4.8552723,62,1478.083263
5.21186,24,1478.782574
4.7531238,68,1485.76605
5.1356697,15,1490.001907
4.908452,64,1491.263962
3.6444557,100,1491.264283
5.2211566,10,1491.952506
1.280202,3,1491.95277
4.98442,23,1495.881812
3.7862906,100,1498.227876
5.0680895,26,1504.792046
5.0784855,12,1506.938814
3.7614372,100,1511.036685
3.7717412,100,1511.538965
5.108384,25,1515.633389
3.8969364,100,1515.897141
4.804361,64,1524.286515
5.070841,44,1524.633326
4.898978,44,1524.781679
3.6726367,100,1525.786401
4.713362,60,1536.548683
4.8827257,60,1537.061448
4.8889112,64,1538.708796
4.1450233,94,1542.362706
4.6775074,22,1547.091102
4.6464653,71,1550.651213
4.6859956,74,1550.651517
1.6299953,100,1557.742925
4.6917973,84,1566.635835
3.6214087,100,1566.636155
3.7848506,100,1569.161114
2.7304506,30,1571.586312
4.2322016,91,1574.503608
4.9758086,53,1579.956683
3.6382496,100,1585.011203
4.49577,5,1585.930015
4.7276163,83,1587.325209
3.7767708,100,1595.07748
3.643977,100,1598.332566
1.6329163,100,1605.746552
3.6091504,100,1608.02514
