RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-03-16_0,0,0,Depot_Start,07:24,444,START,0,14.30953239,121.0973984,{All},0,444,0,N/A,0,0.0,0.0,0,AUV,949.8199999999999,940
R_2023-03-16_0,0,1,70019455,08:00,480,Row_18,1,14.28932569,120.9783798,"{4w, 6w, AUV, MC}",0,480,60,08:00-17:00,50,0.0,18.04,181,AUV,949.8199999999999,940
R_2023-03-16_0,0,2,70019399,09:07,547,Row_19,1,14.30096992,120.9550701,"{4w, 6w, AUV, MC}",0,547,60,08:00-17:00,62,0.0,3.28,34,AUV,949.8199999999999,890
R_2023-03-16_0,0,3,70130197,10:30,630,Row_46,1,14.28162054,120.8707004,"{4w, 6w, AUV, MC}",0,630,60,08:00-17:00,27,0.0,11.35,116,AUV,949.8199999999999,828
R_2023-03-16_0,0,4,70225158,11:31,691,Row_39,1,14.28529,120.86662,"{4w, 6w, AUV, MC}",0,691,60,08:00-17:00,250,0.001,0.74,9,AUV,949.8199999999999,801
R_2023-03-16_0,0,5,70587572,12:46,766,"Row_49, Row_51",2,14.34230563,120.8496689,"{4w, 6w, AUV, MC}",0,766,30,08:00-17:00,162,0.0,7.27,75,AUV,949.8199999999999,551
R_2023-03-16_0,0,6,70019480,13:36,816,Row_48,1,14.40886541,120.8572967,"{10w, 40ft, 4w, 6w, AUV}",0,816,60,08:00-17:00,50,0.0,9.99,101,AUV,949.8199999999999,389
R_2023-03-16_0,0,7,70030496,14:50,890,Row_50,1,14.44161133,120.9026728,"{4w, 6w, AUV, MC}",0,890,60,08:00-17:00,139,0.001,7.19,74,AUV,949.8199999999999,339
R_2023-03-16_0,0,8,70019307,16:29,989,Row_27,1,14.41557,121.04211,"{4w, 6w, AUV, MC}",0,989,60,08:00-17:00,200,0.448,19.65,199,AUV,949.8199999999999,200
R_2023-03-16_0,0,9,Depot_End,18:02,1082,END,0,14.30953239,121.0973984,{All},0,1082,0,Full Day,0,0.0,16.48,0,AUV,949.8199999999999,0
R_2023-03-16_20,20,0,Depot_Start,07:39,459,START,0,14.30953239,121.0973984,{All},0,459,0,N/A,0,0.0,0.0,0,4w,1583.388,1906
R_2023-03-16_20,20,1,70019495,09:00,540,Row_43,1,14.60935374,121.0793339,"{4w, 6w, AUV, MC}",0,540,21,09:00-15:00,450,0.002,40.5,490,4w,1583.388,1906
R_2023-03-16_20,20,2,70391033,09:48,588,"Row_15, Row_66",2,14.68459369,121.1051942,"{4w, 6w, AUV, MC}",0,588,21,09:00-15:00,362,0.001,13.41,163,4w,1583.388,1456
R_2023-03-16_20,20,3,70405783,10:19,619,Row_32,1,14.7062137,121.0732968,"{4w, 6w, AUV, MC}",0,619,21,09:00-16:00,50,0.001,4.78,58,4w,1583.388,1094
R_2023-03-16_20,20,4,70464553,10:43,643,Row_16,1,14.6997918,121.0666838,"{4w, 6w, AUV, MC}",0,643,21,09:00-16:00,162,0.001,1.49,19,4w,1583.388,1044
R_2023-03-16_20,20,5,70019304,11:15,675,Row_12,1,14.73490177,121.0590176,"{4w, 6w, AUV, MC}",0,675,21,10:00-12:00 / 23:00-05:00 (+1d),139,0.001,5.33,65,4w,1583.388,882
R_2023-03-16_20,20,6,70019305,11:36,696,Row_17,1,14.7340634,121.059044,"{4w, 6w, AUV, MC}",0,696,21,10:00-14:00,201,0.001,0.0,1,4w,1583.388,743
R_2023-03-16_20,20,7,70019327,12:05,725,Row_9,1,14.72212031,121.0412174,"{4w, 6w, AUV, MC}",0,725,21,08:00-17:00,28,0.0,4.05,50,4w,1583.388,542
