RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_1-12-2023_0,AUV_0,AUV,1,70017505,08:00,09:00,08:00-17:00,15.482,32.31,0,594.425
R_1-12-2023_0,AUV_0,AUV,2,70017470,09:04,10:04,08:00-17:00,5.3,2.08,0,578.943
R_1-12-2023_0,AUV_0,AUV,3,70017437,10:16,11:16,08:00-16:00,62.285,6.38,0,573.643
R_1-12-2023_0,AUV_0,AUV,4,70017539,11:26,12:26,08:00-16:00,192.64,4.94,0,511.35800000000006
R_1-12-2023_0,AUV_0,AUV,5,70132664,13:26,14:26,08:00-17:00,86.0,29.85,0,318.7180000000001
R_1-12-2023_0,AUV_0,AUV,6,70019459,14:28,15:28,08:00-17:00,232.718,1.07,0,232.71800000000007
R_1-12-2023_1,4w_1,4w,1,70029285,08:00,09:00,08:00-17:00,24.918,25.85,0,1389.5159999999998
R_1-12-2023_1,4w_1,4w,2,70043250,09:03,10:03,08:00-17:00,64.0,1.62,0,1364.598
R_1-12-2023_1,4w_1,4w,3,70019480,10:26,11:26,08:00-17:00,523.439,11.65,0,1300.598
R_1-12-2023_1,4w_1,4w,4,70382544,11:28,12:28,08:00-17:00,180.0,1.01,0,777.159
R_1-12-2023_1,4w_1,4w,5,70465560,12:45,13:45,08:00-17:00,594.348,8.33,0,597.159
R_1-12-2023_1,4w_1,4w,6,70544149,13:58,14:58,08:00-17:00,2.811,6.61,0,2.8110000000000355
R_1-12-2023_2,4w_2,4w,1,70019527,08:00,09:00,08:00-17:00,1471.0,15.92,0,1471.0
